year,best musical
1949,Kiss Me Kate 
1950,South Pacific 
1951,Guys and Dolls 
1952,The King and I 
1953,Wonderful Town 
1954,Kismet 
1955,The Pajama Game 
1956,Damn Yankees 
1957,My Fair Lady 
1958,The Music Man 
1959,Redhead 
1960,The Sound of Music 
1961,Bye Bye Birdie 
1962,How to Succeed in Business Without Really Trying 
1963,A Funny Thing Happened on the Way to the Forum 
1964,Hello Dolly! 
1965,Fiddler on the Roof 
1966,Man of La Mancha 
1967,Cabaret 
1968,Hallelujah Baby! 
1969,1776
1970,Applause 
1971,Company 
1972,Two Gentlemen of Verona 
1973,A Little Night Music 
1974,Raisin 
1975,The Wiz 
1976,A Chorus Line 
1977,Annie 
1978,Ain't Misbehavin' 
1979,Sweeney Todd 
1980,Evita 
1981,42nd Street 
1982,Nine 
1983,Cats 
1984,La Cage aux folles 
1985,Big River 
1986,The Mystery of Edwin Drood 
1987,Les Misérables 
1988,The Phantom of the Opera 
1989,Jerome Robbins' Broadway 
1990,City of Angels 
1991,The Will Rogers Follies 
1992,Crazy for You 
1993,Kiss of the Spider Woman 
1994,Passion 
1995,Sunset Boulevard 
1996,Rent 
1997,Titanic 
1998,The Lion King 
1999,Fosse 
2000,Contact 
2001,The Producers 
2002,Thoroughly Modern Millie 
2003,Hairspray 
2004,Avenue Q 
2005,Monty Python's Spamalot 
2006,Jersey Boys 
2007,Spring Awakening 
2008,In the Heights 
2009,Billy Elliot: The Musical 
2010,Memphis 
2011,The Book of Mormon 
2012,Once 
2013,Kinky Boots 
2014,A Gentleman's Guide to Love & Murder 
2015,Fun Home 
2016,Hamilton 
2017,Dear Evan Hansen 
2018,The Band's Visit 
2019,Hadestown
2020,Moulin Rouge!